pair_id,int_school,ctrl_school
C6-01,Takalmaoua 1,Kontagora Sofoua
C6-02,Sabon Gari Kolta,Dallia
C6-03,Danja 1,Djirataoua Bilingue
C6-04,Danja 2,Bassaraoua
C6-05,El Kokia,Galadantchi
C6-06,Koderaoua,Oumarou Laouali Gago
C6-07,Soura Sarkin Galma 2,Soura Saraki
C6-08,Soura Sarkin Galma 1,Imbelbelou 3
C6-09,Katare 1,Kara Kara 3
C6-10,Katare 2,Kara Kara 1
C6-11,Soura 1,Maza Tsaye 2
C6-12,Soura 2,Garin Magaji
C6-13,Soura 3,Yan Zango
C6-14,Garin Yari Idi,Maza Tsaye 1
C6-15,Soura Magaji Rogo,Maisso
C6-16,Tibiri Nord 3,Garin Daoure 1
C6-17,Waraou,Garin Daoure 2
C6-18,Kalgon Waraou,Soumarana
C6-19,Dan Fillo 3,Kara Kara 2
C6-20,Safo Dan Ali,Safo Chadaoua
C6-21,Safo Nassaraoua,Radi Centre 2
C6-22,Tchikadji Centre,Radi Centre 1
C6-23,Maradou Centre,Radi Quartier
C6-24,Louloubi,Karambi Saboua
C6-25,Sae Saboua,Mallamai Salifou
C6-26,Mallamai Saboua,Yan Doto Garin Malam
C6-27,Barouana,Dan Gara
C6-28,Kadata,Karhin Hali
C6-29,Tagaza,Yan Doto Bala
C6-30,Oubandawaki Alfacha,Karambi Sofoua
C6-31,Mountarou Barmo,Alssaoua
C6-32,Kountarou Mairairai,Touzza
C6-33,Dan Gamji,Dan Bako
C6-34,Kadigaoua,Tsanna Publique
