pair_id,int_school,ctrl_school
C7-01,Takalmaoua 1,Kontagora Sofoua
C7-02,Sabon Gari Kolta,Galadantchi
C7-03,Danja 1,Djirataoua Bilingue
C7-04,Danja 2,Bassaraoua
C7-05,Koderaoua,Oumarou Laouali Gago
C7-06,Takalmaoua 2,Tajaye Djirataoua
C7-07,Safo Nassaraoua,Radi Centre 2
C7-08,Tchikadji Centre,Radi Centre 1
C7-09,Maradou Centre,Radi Quartier
C7-10,Safo El Mougou,Gade
C7-11,Tchikadji Quartier,Soumarana
C7-12,Safo Quartier,Safo Chadaoua
C7-13,Garin Yari Idi,Maza Tsaye 1
C7-14,Kalgon Waraou,Guigamaoua Sofoua
C7-15,Katare 1,Kara Kara 3
C7-16,Katare 2,Kara Kara 1
C7-17,Dan Fillo 3,Kara Kara 2
C7-18,Soura 1,Maza Tsaye 2
C7-19,Soura 2,Garin Magaji
C7-20,Soura 3,Yan Zango
C7-21,Soura Sarkin Galma 1,Imbelbelou 3
C7-22,Soura Sarkin Galma 2,Sarkin Aski
C7-23,Soura Magaji Rogo,Maisso
C7-24,Waraou,Garin Daoure 2
C7-25,Tibiri Nord 3,Garin Daoure 1
C7-26,Soura Saraki,Garin Malam Hamza
C7-27,Barouana,Dan Gara
C7-28,Dan Gamji (Sae Saboua),Dan Bako
C7-29,Kadata,Karhin Hali
C7-30,Kadigaoua,Tsanna Publique
C7-31,Kountarou Mairairai,Touzza
C7-32,Louloubi,Karambi Saboua
C7-33,Mallamai Saboua,Yan Doto Garin Malam
C7-34,Mountarou Barmo,Alssaoua
C7-35,Sae Saboua,Mallamai Salifou
C7-36,Oubandawaki Alfacha,Karambi Sofoua
C7-37,Tagaza,Yan Doto Bala
C7-38,Gadambo,Gagadama
C7-39,Garin Bouwey,Tchido
C7-40,Mountarou 1,Mata Milki
C7-41,Gawaro Madataye,Wakaso
C7-42,Jan Ruwa Sedentaire,Zabon Mousso
C7-43,Zangon Narouwa,Guidan Tambari
C7-44,Tawalala,Magami
C7-45,Maijanguero,Dan Bouzou
C7-46,Dan Gamji (Tchadoua),Dan Toumbi
C7-47,Dan Aicha,Guidan Dan Galdima
C7-48,Guidan Karma,Guidan Zoudi
C7-49,Guidan Magagi,Bini
C7-50,Guidan Moussa,Algafia/Kotsi
C7-51,Kouran Mota,Chapke
C7-52,Douma 1,Guidan Koube
