cohort,year,level,side,school,n_girls,pre_math,pre_fr,post_math,post_fr,cfepd,n_pre,n_post,n_eoy_valid,n_dropout,n_passed,n_repeated,n_cfm,taux_abandon,taux_reussite,n_eligible,n_enrolled_sec,n_not_trans,n_college_missing,taux_inscription
C4,2022,CM1,Int,Soura Sarkin Galma 1,42.0,8.685897435897436,9.217948717948717,13.825,12.51875,,39.0,40.0,42.0,0.0,41.0,1.0,0.0,0.0,97.61904761904762,,,,,
C4,2022,CM1,Int,Soura Sarkin Galma 2,41.0,10.0,7.512820512820513,11.31578947368421,8.605263157894736,,39.0,38.0,39.0,0.0,30.0,9.0,0.0,0.0,76.92307692307692,,,,,
C4,2022,CM1,Int,Takalmaoua 1,25.0,9.023809523809524,7.142857142857143,8.5,10.275,,21.0,20.0,25.0,0.0,19.0,6.0,0.0,0.0,76.0,,,,,
C4,2022,CM1,Int,Takalmaoua 2,19.0,9.933333333333334,4.066666666666666,10.55,11.533333333333333,,15.0,15.0,17.0,0.0,17.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Int,Tarna,65.0,9.5,8.540178571428571,12.842105263157896,12.109649122807017,,56.0,57.0,64.0,0.0,54.0,10.0,0.0,0.0,84.375,,,,,
C4,2022,CM1,Int,Tchikadji Centre,38.0,6.069444444444445,4.5,10.671052631578947,10.848684210526315,,36.0,38.0,37.0,0.0,25.0,12.0,0.0,0.0,67.56756756756756,,,,,
C4,2022,CM1,Int,Tchikadji Quartier,14.0,5.535714285714286,4.535714285714286,6.461538461538462,8.23076923076923,,14.0,13.0,14.0,0.0,14.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Int,Tibiri Nord 3,16.0,10.461538461538462,12.0,16.5,13.34375,,13.0,16.0,16.0,0.0,15.0,1.0,0.0,0.0,93.75,,,,,
C4,2022,CM1,Int,Total,1.0,4.526785714285714,2.6830357142857144,9.348484848484848,7.628787878787879,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Int,Waraou,51.0,11.89,13.26,16.38,15.75,,25.0,50.0,51.0,0.0,40.0,11.0,0.0,0.0,78.43137254901961,,,,,
C4,2022,CM2,Ctrl,Bassaraoua,51.0,11.646341463414634,8.268292682926829,13.511627906976743,13.680232558139535,5.150253623188406,41.0,43.0,51.0,4.0,26.0,15.0,0.0,7.8431372549019605,50.98039215686274,26.0,22.0,0.0,0.0,100.0
C4,2022,CM2,Ctrl,Dallia,48.0,12.43421052631579,12.0,12.0,11.5,4.579027777777777,38.0,48.0,24.0,0.0,11.0,13.0,0.0,0.0,45.833333333333336,11.0,9.0,0.0,0.0,100.0
C4,2022,CM2,Ctrl,Dan Kari,18.0,8.088235294117647,9.176470588235293,10.5,9.15625,4.971794871794872,17.0,16.0,18.0,5.0,7.0,2.0,0.0,27.77777777777778,38.888888888888886,7.0,5.0,0.0,0.0,100.0
