cohort,year,level,side,school,n_girls,pre_math,pre_fr,post_math,post_fr,cfepd,n_pre,n_post,n_eoy_valid,n_dropout,n_passed,n_repeated,n_cfm,taux_abandon,taux_reussite,n_eligible,n_enrolled_sec,n_not_trans,n_college_missing,taux_inscription
C4,2022,CM2,Ctrl,Soumarana,23.0,10.91304347826087,8.467391304347826,10.380952380952381,9.666666666666666,4.519420289855073,23.0,21.0,23.0,0.0,13.0,10.0,0.0,0.0,56.52173913043478,13.0,13.0,0.0,0.0,100.0
C4,2022,CM2,Ctrl,Tajaye Djirataoua,26.0,9.565217391304348,7.391304347826087,11.333333333333334,13.104166666666666,5.646538461538461,23.0,24.0,26.0,0.0,22.0,2.0,0.0,0.0,84.61538461538461,22.0,16.0,3.0,0.0,84.21052631578948
C4,2022,CM2,Ctrl,Total,4.0,8.339819487577639,7.965034383318544,10.502593873517787,9.984560276679842,5.289476851851852,4.0,4.0,,,,,,,,,,,,
C4,2022,CM2,Ctrl,Yan Zango,28.0,8.770833333333334,11.052083333333334,11.428571428571429,14.125,5.439012345679013,24.0,28.0,28.0,1.0,19.0,5.0,0.0,3.5714285714285716,67.85714285714286,19.0,19.0,0.0,0.0,100.0
C4,2022,CM2,Ctrl,kwantagora Goussaoua,24.0,7.428571428571429,3.5,11.391304347826088,6.315217391304348,4.1752698412698415,21.0,23.0,24.0,3.0,7.0,9.0,0.0,12.5,29.166666666666668,7.0,3.0,2.0,1.0,60.0
C4,2022,CM2,Int,AtchidaKofoto bilingue,3.0,,,11.833333333333334,4.333333333333333,3.5288888888888894,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C4,2022,CM2,Int,Atchidakofoto Bilingue,24.0,7.339285714285714,2.3392857142857144,12.543478260869565,6.8478260869565215,5.414166666666667,14.0,23.0,20.0,0.0,18.0,1.0,0.0,0.0,90.0,18.0,17.0,0.0,1.0,100.0
C4,2022,CM2,Int,Dan Fillo 3,50.0,10.112903225806452,8.35483870967742,14.511904761904763,13.744047619047619,5.968859649122808,31.0,42.0,40.0,0.0,28.0,8.0,0.0,0.0,70.0,28.0,27.0,0.0,0.0,100.0
C4,2022,CM2,Int,Danja 1,31.0,10.75925925925926,8.074074074074074,12.916666666666666,15.416666666666666,6.201397849462365,27.0,30.0,31.0,0.0,23.0,3.0,0.0,0.0,74.19354838709677,23.0,23.0,0.0,0.0,100.0
C4,2022,CM2,Int,Danja 2,31.0,7.125,6.696428571428571,10.653846153846153,12.528846153846153,3.9403333333333332,28.0,26.0,30.0,0.0,8.0,14.0,0.0,0.0,26.666666666666668,8.0,8.0,0.0,0.0,100.0
C4,2022,CM2,Int,El Kokia,51.0,6.713414634146342,5.140243902439025,10.666666666666666,9.627777777777778,4.959869281045752,41.0,45.0,51.0,0.0,26.0,24.0,0.0,0.0,50.98039215686274,26.0,26.0,0.0,0.0,100.0
C4,2022,CM2,Int,Garin Yari Idi,23.0,8.431818181818182,5.0,11.391304347826088,8.847826086956522,4.905797101449275,22.0,23.0,23.0,0.0,11.0,10.0,0.0,0.0,47.82608695652174,11.0,11.0,0.0,0.0,100.0
C4,2022,CM2,Int,Kalgon Waraou,16.0,9.266666666666667,6.233333333333333,14.25,11.9375,6.18375,15.0,16.0,16.0,0.0,14.0,2.0,0.0,0.0,87.5,14.0,14.0,0.0,0.0,100.0
C4,2022,CM2,Int,Katare 1,38.0,8.140625,5.2578125,12.208333333333334,10.645833333333334,4.90111111111111,32.0,36.0,36.0,0.0,18.0,17.0,0.0,0.0,50.0,18.0,18.0,0.0,0.0,100.0
C4,2022,CM2,Int,Katare 2,23.0,8.571428571428571,9.904761904761905,12.833333333333334,14.027777777777779,4.797971014492754,21.0,18.0,23.0,0.0,14.0,7.0,0.0,0.0,60.869565217391305,14.0,14.0,0.0,0.0,100.0
C4,2022,CM2,Int,Koderaoua,47.0,6.4875,4.46875,11.085365853658537,9.426829268292684,4.928550724637682,40.0,41.0,46.0,0.0,21.0,24.0,0.0,0.0,45.65217391304348,21.0,21.0,0.0,0.0,100.0
C4,2022,CM2,Int,Maradou Centre,56.0,7.041666666666667,4.173611111111111,9.348484848484848,7.628787878787879,4.616458333333333,36.0,33.0,48.0,0.0,22.0,10.0,15.0,0.0,45.833333333333336,22.0,20.0,0.0,0.0,100.0
C4,2022,CM2,Int,Maradou Quartier,21.0,8.81578947368421,5.2368421052631575,13.345238095238095,10.154761904761905,6.7876190476190486,19.0,21.0,21.0,0.0,19.0,2.0,0.0,0.0,90.47619047619048,19.0,18.0,0.0,0.0,100.0
C4,2022,CM2,Int,Namaroua,29.0,7.06,5.14,9.875,13.642857142857142,4.805595238095238,25.0,28.0,28.0,0.0,13.0,15.0,0.0,0.0,46.42857142857143,13.0,13.0,0.0,0.0,100.0
C4,2022,CM2,Int,Sabon Gari Kolta,29.0,9.576923076923077,7.509615384615385,13.60344827586207,12.0,6.103563218390804,26.0,29.0,29.0,0.0,22.0,6.0,0.0,0.0,75.86206896551724,22.0,21.0,0.0,1.0,100.0
C4,2022,CM2,Int,Safo Dan Ali,17.0,9.941176470588236,6.382352941176471,15.176470588235293,12.617647058823529,5.425490196078432,17.0,17.0,17.0,0.0,10.0,7.0,0.0,0.0,58.8235294117647,10.0,10.0,0.0,0.0,100.0
C4,2022,CM2,Int,Safo El Mougou,19.0,5.166666666666667,5.736111111111111,7.083333333333333,6.388888888888889,4.969473684210525,18.0,18.0,19.0,0.0,12.0,5.0,2.0,0.0,63.1578947368421,12.0,12.0,0.0,0.0,100.0
C4,2022,CM2,Int,Safo Nassaraoua,25.0,3.323529411764706,3.485294117647059,6.239130434782608,6.043478260869565,3.719733333333333,17.0,23.0,25.0,0.0,9.0,8.0,7.0,0.0,36.0,9.0,9.0,0.0,0.0,100.0
C4,2022,CM2,Int,Soura 1,42.0,12.447368421052632,13.421052631578947,14.407407407407407,16.22222222222222,4.624796747967479,19.0,27.0,41.0,7.0,24.0,9.0,0.0,17.073170731707318,58.53658536585366,24.0,24.0,0.0,0.0,100.0
C4,2022,CM2,Int,Soura 2,15.0,10.0,9.596153846153847,11.8,13.466666666666667,6.774523809523808,13.0,15.0,14.0,1.0,13.0,0.0,0.0,7.142857142857143,92.85714285714286,13.0,13.0,0.0,0.0,100.0
C4,2022,CM2,Int,Soura 3,23.0,11.625,12.325,14.1625,14.2625,6.734848484848485,20.0,20.0,23.0,1.0,21.0,1.0,0.0,4.3478260869565215,91.30434782608695,21.0,20.0,0.0,1.0,100.0
