cohort,year,level,side,school,n_girls,n_eoy_valid,n_dropout,n_passed,taux_abandon,taux_reussite,taux_inscription,pre_math,pre_fr,post_math,post_fr,pre_comp,cfepd,n_pre,n_post,flag,pair_id
C4,2022,CM1,Ctrl,Bassaraoua,51.0,51.0,2.0,23.0,3.92156862745098,45.09803921568628,,11.646341463414634,8.268292682926829,13.511627906976743,13.680232558139537,,,41.0,43.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-07
C4,2022,CM1,Ctrl,Dallia,24.0,24.0,0.0,23.0,0.0,95.83333333333331,,12.43421052631579,12.0,,,,,19.0,0.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-05
C4,2022,CM1,Ctrl,Dan Kari,18.0,18.0,0.0,12.0,0.0,66.66666666666667,,8.088235294117647,9.176470588235292,10.5,9.15625,,,17.0,16.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-02
C4,2022,CM1,Ctrl,Djirataoua Bilingue,32.0,32.0,0.0,27.0,0.0,84.375,,12.328125,11.3515625,12.53225806451613,13.629032258064516,,,32.0,31.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-06
C4,2022,CM1,Ctrl,Gade,23.0,23.0,0.0,23.0,0.0,100.0,,1.805555555555556,2.6944444444444446,5.71875,4.546875,,,18.0,16.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-25
C4,2022,CM1,Ctrl,Galadantchi,40.0,40.0,0.0,40.0,0.0,100.0,,6.277777777777778,4.013888888888889,7.30625,7.301282051282051,,,36.0,40.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-08
C4,2022,CM1,Ctrl,Garin Bormo,20.0,20.0,0.0,20.0,0.0,100.0,,14.4625,14.5625,17.0,19.4125,,,20.0,20.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-16
C4,2022,CM1,Ctrl,Garin Daoure 1,12.0,12.0,0.0,12.0,0.0,100.0,,14.291666666666666,15.125,14.416666666666666,14.916666666666666,,,12.0,12.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-18
C4,2022,CM1,Ctrl,Garin Daoure 2,11.0,11.0,0.0,11.0,0.0,100.0,,14.45,14.125,12.590909090909092,13.75,,,10.0,11.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-20
C4,2022,CM1,Ctrl,Garin Magaji,21.0,21.0,0.0,21.0,0.0,100.0,,6.25,6.238095238095238,8.45,8.225,,,21.0,20.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-14
C4,2022,CM1,Ctrl,Garin Malam Hamza,18.0,18.0,0.0,18.0,0.0,100.0,,5.691176470588236,4.220588235294118,7.916666666666667,5.986111111111111,,,17.0,18.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-13
C4,2022,CM1,Ctrl,Guigamaoua Sofoua,20.0,20.0,0.0,20.0,0.0,100.0,,10.7,5.625,11.960526315789474,7.565789473684211,,,20.0,19.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-10
C4,2022,CM1,Ctrl,Imbelbelou 3,48.0,48.0,0.0,43.0,0.0,89.58333333333333,,11.345238095238097,14.589285714285714,,,,,42.0,0.0,REVIEW: likely same girls as C4 CM2 (pre-treatment CM1-yr records),C4-11
